roomNumber	previousStatus	newStatus	reason	changedAt
R101	DIRTY	CLEANING_IN_PROGRESS	Cleaning task T1006 assigned	2026-08-28T14:30:56.8765683
R103	CLEANING_IN_PROGRESS	INSPECTED	Status advanced by supervisor	2026-08-28T13:08:44.1929224
R104	OCCUPIED	DIRTY	Guest checked out at Front Desk	2026-08-28T13:08:08.6790568
R302	DIRTY	CLEANING_IN_PROGRESS	Cleaning task T1005 assigned	2026-08-28T13:06:14.5184146
R301	INSPECTED	READY_FOR_CHECK_IN	Status advanced by supervisor	2026-08-24T16:17:26.440025
R301	CLEANING_IN_PROGRESS	INSPECTED	Status advanced by supervisor	2026-08-24T16:17:12.5348216
R304	INSPECTED	READY_FOR_CHECK_IN	Status advanced by supervisor	2026-08-24T16:17:00.0369722
R402	INSPECTED	READY_FOR_CHECK_IN	Status advanced by supervisor	2026-08-24T16:16:49.8947778
R103	READY_FOR_CHECK_IN	DIRTY	Late check-out requested	2026-08-23T23:20:19.164057
R204	DIRTY	CLEANING_IN_PROGRESS	Cleaning task T1004 assigned	2026-08-23T13:53:05.5257748
R502	INSPECTED	READY_FOR_CHECK_IN	Status advanced by supervisor	2026-08-23T13:19:04.3721922
R301	DIRTY	CLEANING_IN_PROGRESS	Cleaning task T1001 assigned	2026-08-18T21:47:16.128
R102	READY_FOR_CHECK_IN	DIRTY	Late check-out requested	2026-08-18T18:32:01.054
R304	CLEANING_IN_PROGRESS	INSPECTED	Status advanced by supervisor	2026-08-18T18:31:13.752
R301	READY_FOR_CHECK_IN	DIRTY	Late check-out requested	2026-08-18T01:09:34.6273861
R502	CLEANING_IN_PROGRESS	INSPECTED	Status advanced by supervisor	2026-08-18T01:09:20.5573837
R602	INSPECTED	READY_FOR_CHECK_IN	Status advanced by supervisor	2026-08-18T00:56:06.8704982
